FA,AR,CH,WA,RO,WI,WWRN,WWRS,SH,OR,CL
150,1.0,2.5,2.5,1.72,2.66,10,10,2.0,0,82.3184564
250,0.33,3.0,0.29,2.67,1.76,30,10,2.0,90,75.82053258
150,0.25,2.5,1.57,1.72,1.76,30,10,0.0,180,76.5852182
200,1.0,4.0,1.57,2.67,4.23,50,70,0.0,0,167.5743075
200,0.33,3.5,1.77,1.72,4.23,70,70,0.0,0,129.3594307
250,0.25,3.0,0.29,0.2,1.76,10,10,4.0,0,66.26062051
150,0.66,2.5,0.34,2.74,2.66,10,10,2.0,0,74.1951724
200,0.5,3.0,2.65,0.29,1.76,10,10,1.0,90,83.43239145
250,0.66,2.5,2.65,0.29,1.76,30,30,3.0,0,90.20089795
150,1.0,3.5,1.77,1.72,4.23,10,90,0.0,0,134.7266326
250,0.25,2.5,1.57,2.67,2.66,10,30,4.0,180,77.33790698
150,0.66,3.5,1.77,1.72,2.66,30,10,1.0,90,102.7590906
200,0.66,3.0,0.74,0.43,4.23,50,10,2.0,90,96.1507811
150,0.66,2.5,1.57,1.72,1.76,50,90,0.0,0,115.542631
250,0.66,3.0,1.57,0.2,4.23,50,50,0.0,180,146.1135512
250,0.33,2.5,1.77,2.67,1.76,30,10,0.0,180,82.75400329
250,0.66,4.0,1.77,1.72,2.66,70,70,0.5,0,173.1961571
150,0.66,2.5,2.5,1.72,1.76,50,30,0.0,0,102.9263665
150,0.5,2.5,1.57,1.72,1.76,30,10,0.0,0,80.74636074
200,0.25,4.0,2.5,0.2,5.77,70,70,0.0,90,156.6542
200,0.5,2.5,2.65,2.74,4.23,10,10,2.0,180,81.12131993
200,0.33,3.5,1.57,1.72,2.66,10,50,0.0,90,106.0176601
250,0.66,2.5,0.34,0.2,1.76,10,30,0.5,90,83.27763158
150,0.33,2.5,2.5,2.67,1.76,30,10,1.0,90,79.05325177
200,0.33,4.0,1.57,1.72,4.23,50,70,0.0,270,146.93267
250,1.0,3.5,1.57,1.72,5.77,50,70,0.0,180,178.1072895
150,0.25,2.5,1.57,2.74,4.23,10,10,0.5,0,80.2227948
150,0.33,2.5,1.77,0.43,1.76,70,30,0.0,0,86.05375853
200,0.5,2.5,0.34,0.2,4.23,10,10,3.0,0,68.00932115
250,1.0,2.5,2.5,1.72,1.76,10,30,0.5,0,91.00991857
200,0.33,2.5,1.77,2.74,1.76,10,30,1.0,180,77.49278768
200,0.33,3.0,1.24,0.49,4.23,50,90,1.0,90,111.1249
200,0.5,2.5,2.5,0.2,1.76,50,10,3.0,90,80.2193152
150,0.5,2.5,0.29,1.72,1.76,10,30,0.5,0,73.15925534
200,1.0,3.0,2.5,0.43,1.76,10,10,2.0,90,89.27765234
200,0.33,2.5,1.77,2.74,1.76,30,10,0.0,90,84.67309515
150,0.33,3.0,1.24,0.49,4.23,50,10,1.0,90,84.8356
200,0.25,3.3,2.65,2.74,5.77,90,90,0.0,270,159.6272585
200,0.66,2.5,0.29,0.29,2.66,30,10,0.0,90,93.56825612
150,0.33,3.5,0.34,0.29,2.66,70,70,0.5,0,77.928957
200,0.5,3.0,2.65,0.2,1.76,10,30,0.5,0,84.64232764
250,0.66,2.5,0.29,0.2,1.76,10,30,4.0,180,74.29115104
250,0.33,2.5,2.65,2.74,2.66,70,50,0.0,0,107.4486842
150,0.66,3.0,1.77,2.67,1.76,10,10,4.0,270,87.36031743
150,1.0,2.5,2.5,2.67,1.76,10,30,0.5,0,86.09077243
200,0.66,2.5,0.29,2.67,1.76,30,30,4.0,0,80.19343269
200,0.5,4.0,0.34,1.72,1.76,70,50,0.0,0,118.0206922
150,0.5,2.5,1.77,2.67,1.76,10,30,2.0,90,79.09422543
150,0.5,2.5,0.29,1.72,2.66,10,30,1.0,270,76.48618649
250,1.0,3.0,0.29,0.2,1.76,30,10,3.0,0,75.0981827
150,0.5,3.5,1.57,1.72,4.23,30,30,0.0,0,102.965473
250,1.0,3.0,2.65,2.67,2.66,50,30,0.0,0,129.0964217
150,0.66,3.0,1.57,1.72,2.66,70,10,3.0,0,95.82207793
150,0.66,3.5,2.5,2.67,2.66,30,70,0.0,0,141.9539948
250,0.66,3.0,1.57,2.74,4.23,50,50,0.0,0,149.9501165
150,1.0,3.5,1.57,1.72,1.76,10,50,0.5,180,97.92545793
200,1.0,3.5,1.57,2.67,2.66,70,90,0.5,0,147.029225
200,0.66,3.1,1.24,0.49,4.23,50,50,1.0,90,128.4406398
200,0.5,3.0,0.29,2.67,1.76,10,10,3.0,180,71.97436173
250,1.0,3.2,2.5,2.67,5.77,50,30,0.5,0,126.9068725
250,0.33,3.0,2.65,2.67,1.76,10,10,2.0,180,82.00423811
200,0.33,3.5,2.65,2.67,5.77,30,70,0.0,90,138.2875765
250,0.33,3.5,1.57,1.72,5.77,70,50,0.0,180,136.9142308
150,0.66,4.0,1.77,2.74,5.77,90,90,0.0,270,252.8881
250,0.25,2.5,2.65,0.2,1.76,10,30,0.5,90,79.00614657
150,1.0,2.5,2.65,2.67,1.76,10,10,2.0,270,84.75937228
200,0.5,4.0,0.29,1.72,4.23,90,70,0.5,90,157.2728868
200,0.25,3.5,1.57,2.67,2.66,90,30,0.0,0,113.2695064
150,0.66,3.0,1.57,1.72,4.23,70,50,0.5,0,121.8668901
250,0.5,3.5,1.57,2.67,5.77,90,50,0.0,180,157.9884636
200,1.0,2.5,0.74,2.67,2.66,10,10,1.0,90,79.129719
150,0.66,3.0,2.5,0.2,4.23,10,30,0.0,0,105.3606519
200,0.66,2.5,2.5,2.67,1.76,30,10,0.0,180,98.4750939
200,0.5,3.0,2.5,2.67,5.77,50,30,1.6,0,101.0461946
150,0.5,2.5,1.57,2.74,1.76,10,10,3.0,0,74.94726018
200,0.66,3.0,1.77,0.43,1.76,10,30,1.0,0,91.600412
150,0.5,2.5,2.65,2.74,2.66,10,30,2.0,0,81.46152483
250,0.33,2.5,1.57,1.72,2.66,10,10,4.0,0,75.43909027
150,0.5,2.5,0.29,2.67,1.76,10,30,1.0,180,73.1726479
200,0.33,3.0,1.77,1.72,4.23,10,10,3.0,180,78.81629013
200,0.33,4.0,1.77,1.72,4.23,70,90,0.5,180,133.8620989
150,0.33,2.5,2.5,0.43,1.76,10,10,3.0,180,72.85212172
150,0.25,2.5,2.5,0.43,2.66,10,30,0.5,0,76.24931346
150,0.5,2.5,1.57,2.67,2.66,10,90,0.0,90,106.9441276
200,0.25,2.5,2.5,2.67,1.76,50,10,0.5,270,82.44674958
150,0.5,3.0,1.77,1.72,4.23,70,10,0.0,90,111.153043
200,0.5,3.0,0.29,0.43,1.76,10,10,1.0,90,69.98927523
250,1.0,3.0,0.34,0.2,4.23,70,50,0.5,0,121.889115
150,1.0,2.5,1.77,2.67,4.23,30,50,0.5,0,84.7844526
200,0.33,2.5,1.57,2.67,2.66,30,10,3.0,0,77.50927608
250,0.25,3.0,2.5,1.72,2.66,10,10,3.0,180,80.09674285
150,0.5,3.0,1.57,0.29,1.76,30,10,2.0,0,76.9880341
250,0.66,2.5,0.29,2.74,1.76,10,50,4.0,90,83.8965492
200,1.0,3.0,1.57,2.67,5.77,90,70,0.5,270,163.8756925
200,0.5,3.5,0.74,2.74,1.76,30,90,0.0,90,125.2032195
250,0.66,3.5,1.77,2.67,5.77,90,90,0.0,0,232.2702653
200,1.0,3.5,1.77,2.67,4.23,30,70,0.0,90,162.6907006
150,0.33,2.5,0.29,0.29,1.76,30,10,3.0,90,67.82442674
250,0.33,3.0,2.5,2.67,5.77,50,30,0.6,0,102.1175451
200,1.0,3.5,1.77,2.67,2.66,90,70,0.0,90,191.9544057
200,0.25,2.5,1.57,1.72,2.66,10,70,0.0,180,89.04393408
